environment variable flags: RwLockReadGuard { lock: RwLock { data: Flags { print_per_fn_stats: false, count_indirect: false, benchmark_name: "heman", non_limit: true, config_file: None } } }
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Initialize::centre ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:53:5: 53:15 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Initialize::point ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:62:9: 62:18 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Centre::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:208:5: 208:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Initialize::centre ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:64:5: 64:15 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Initialize::point ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:73:9: 73:18 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Centre::pOut ; poison: ({CastSource, PtrArith, MiscSource, ExternCallReturn, VoidSource, MixedRefSource}, {ExternCallParam, PtrArithSink, MixedRefSink, CastSink, VoidSink, MiscSink}) at benchmark/heman/src/kazmath/aabb3.rs:244:5: 244:13 (#0)
Non-limit ptr: lib::src::kazmath::mat3::kmMat3Fill::pMat ; poison: ({ExternCallReturn, MiscSource, MixedRefSource, CastSource, GlobalSource, PtrArith, VoidSource}, {CastSink, GlobalSink, VoidSink, ExternCallParam, PtrArithSink, MiscSink, MixedRefSink}) at benchmark/heman/src/kazmath/mat3.rs:102:5: 102:13 (#0)
Non-limit ptr: lib::src::kazmath::mat3::kmMat3Identity::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/mat3.rs:113:41: 113:49 (#0)
Non-limit ptr: lib::src::kazmath::mat3::kmMat3Multiply::m1 ; poison: ({GlobalSource, VoidSource, ExternCallReturn, MiscSource, MixedRefSource, CastSource, PtrArith}, {PtrArithSink, MiscSink, CastSink, GlobalSink, MixedRefSink, ExternCallParam, VoidSink}) at benchmark/heman/src/kazmath/mat3.rs:266:9: 266:15 (#0)
Non-limit ptr: lib::src::kazmath::mat3::kmMat3Multiply::m2 ; poison: ({PtrArith, MiscSource, ExternCallReturn, MixedRefSource, CastSource, GlobalSource, VoidSource}, {GlobalSink, VoidSink, CastSink, PtrArithSink, ExternCallParam, MixedRefSink, MiscSink}) at benchmark/heman/src/kazmath/mat3.rs:267:9: 267:15 (#0)
Non-limit ptr: lib::src::kazmath::mat3::kmMat3Scaling::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/mat3.rs:420:5: 420:13 (#0)
Non-limit ptr: lib::src::kazmath::mat3::kmMat3Translation::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/mat3.rs:431:5: 431:13 (#0)
