environment variable flags: RwLockReadGuard { lock: RwLock { data: Flags { print_per_fn_stats: false, count_indirect: false, benchmark_name: "heman", non_limit: true, config_file: None } } }
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Initialize::pBox ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:30:5: 30:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Initialize::centre ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:31:5: 31:15 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Initialize::point ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:40:9: 40:18 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Sanitize::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:50:5: 50:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Sanitize::pIn ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:51:5: 51:12 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ContainsPoint::pBox ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:71:5: 71:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ContainsPoint::pPoint ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:72:5: 72:15 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Assign::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:83:5: 83:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Assign::pIn ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:84:5: 84:12 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Translate::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:92:5: 92:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Translate::pIn ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:93:5: 93:12 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Translate::translation ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:94:5: 94:20 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Scale::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:102:5: 102:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Scale::pIn ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:103:5: 103:12 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ScaleWithPivot::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:112:5: 112:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ScaleWithPivot::pIn ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:113:5: 113:12 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ScaleWithPivot::pivot ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:114:5: 114:14 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ContainsAABB::container ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:127:5: 127:18 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ContainsAABB::to_check ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:128:5: 128:17 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2DiameterX::aabb ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:176:43: 176:51 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2DiameterY::aabb ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:180:43: 180:51 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Centre::aabb ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:185:5: 185:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2Centre::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:186:5: 186:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ExpandToContain::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:194:5: 194:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ExpandToContain::pIn ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:195:5: 195:12 (#0)
Non-limit ptr: lib::src::kazmath::aabb2::kmAABB2ExpandToContain::other ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb2.rs:196:5: 196:14 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Initialize::pBox ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:44:5: 44:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Initialize::centre ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:45:5: 45:15 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Initialize::point ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:54:9: 54:18 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3ContainsPoint::pBox ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:66:5: 66:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3ContainsPoint::pPoint ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:67:5: 67:15 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Assign::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:79:5: 79:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Assign::pIn ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:80:5: 80:12 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Scale::pOut ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:88:5: 88:13 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3Scale::pIn ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:89:5: 89:12 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3IntersectsTriangle::box_0 ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:110:5: 110:14 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3IntersectsTriangle::p1 ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:111:5: 111:11 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3IntersectsTriangle::p2 ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:112:5: 112:11 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3IntersectsTriangle::p3 ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:113:5: 113:11 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3IntersectsAABB::box_0 ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:135:5: 135:14 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3IntersectsAABB::other ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:136:5: 136:14 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3ContainsAABB::container ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:143:5: 143:18 (#0)
Non-limit ptr: lib::src::kazmath::aabb3::kmAABB3ContainsAABB::to_check ; poison: ({}, {}) at benchmark/heman/src/kazmath/aabb3.rs:144:5: 144:17 (#0)
